ID,SMILES,Standard Relation,IC50,pIC50,bioactivity
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,'=',10769,4.97,inactive
CHEMBL1228,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,,43545,,inactive
CHEMBL126602,O=C1Nc2ccccc2/C1=C\C(=O)c1ccccc1,,49743,,inactive
CHEMBL1299716,Cc1n[nH]c(C)c1CCCCOc1ccc([N+](=O)[O-])cc1,'=',5256,5.28,active
CHEMBL1300370,O=C1Nc2ccc(Br)cc2C12NNc1ccccc1O2,'=',11798,4.93,inactive
CHEMBL1301371,Cc1cccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)c1,'=',5510,5.26,active
CHEMBL1301723,N#CC(C#N)=C1C=CC=CN1/C(=C\c1ccco1)C(=O)c1ccccc1,'=',15868,4.8,inactive
CHEMBL1301731,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,'=',4768,5.32,active
CHEMBL1303426,Cc1c(Nc2cc(Cl)c3nonc3c2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C,'=',6002,5.22,active
CHEMBL1303641,COCCCNc1c(O)nc2cccc3c2c1-c1ccccc1C3=O,'=',1840,5.74,active
CHEMBL1303810,O=C(OCn1ncc(Br)c(Br)c1=O)c1ccccc1Cl,'>',49761,,inactive
CHEMBL1303914,COc1ccc(C2=CC(=O)N(Nc3ccccc3)C2=O)cc1,,49781,,inactive
CHEMBL1304024,O=Cc1ccc2cccc3c2c1N=C(C(F)(F)F)N3,'=',8759,5.06,active
CHEMBL1305960,O=C(CN(c1cccc(C(F)(F)F)c1)S(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)NCc1ccc(F)cc1,,49766,,inactive
CHEMBL1306565,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1.[Na+],'>',59640,,inactive
CHEMBL1306900,COc1cccc2sc(N(CCCN(C)C)C(=O)CCS(=O)(=O)c3ccccc3)nc12,,17165,,inactive
CHEMBL1307050,CCc1ccc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3)ncc2Cl)cc1,'=',12102,4.92,inactive
CHEMBL1307636,O=S(=O)(c1cnc(Cl)c(Br)c1)N1CCc2ccccc21,,49751,,inactive
CHEMBL1308255,O=C(/C=C/c1cn(CC(O)CN2CCCCCC2)c2ccccc12)c1cccs1,'=',8346,5.08,active
CHEMBL1308404,O=[N+]([O-])c1c(Nc2ccc(O)cc2)cc(Cl)c2nonc12,'=',6375,5.2,active
CHEMBL1308497,O=C(Nc1ccc2nc3n(c(=O)c2c1)CCCCC3)c1c(F)ccc([N+](=O)[O-])c1F,,49745,,inactive
CHEMBL1309228,CS(=O)(=O)c1ccc(C(=O)OCc2nnc(-c3ccccc3)o2)cc1[N+](=O)[O-],,49751,,inactive
CHEMBL1310325,CCN(CC)CCOC(=O)c1ccc(N/C=C(/C#N)c2nc(-c3cc4ccccc4oc3=O)cs2)cc1,'>',59640,,inactive
CHEMBL131037,COc1ccc(OC)c2c1C(=O)C(Cl)=C(Cl)C2=O,'=',6759,5.17,active
CHEMBL1310644,Cc1cc(N2CCOCC2)ccc1/C=C\[N+](=O)[O-],,49708,,inactive
CHEMBL1311185,O=C(Nc1ccccc1)C1=C(c2ccccc2)S(=O)(=O)CCS1(=O)=O,,49744,,inactive
CHEMBL1314447,Cc1c(C)c2c(OCC(=O)N3CCC[C@H]3C(=O)O)cc3c(c2oc1=O)CCC(C)(C)O3,'=',525,6.28,active
CHEMBL1314602,COc1ccc(-n2sc3ccc(F)cc3c2=O)cc1,,19902,,inactive
CHEMBL1315870,CCCCc1cc(=O)oc2c3c(cc(OCC(=O)N4CCC[C@H]4C(=O)O)c12)OC(C)(C)CC3,'=',8931,5.05,active
CHEMBL1315948,CCc1ccc(Nc2n[n+](-c3ccccc3)c(-c3c(Cl)cccc3Cl)s2)cc1.[Cl-],'=',3124,5.5,active
CHEMBL1315955,COC(=O)c1sccc1NC(=O)c1ccc(C#N)cc1,'>',59640,,inactive
